Run_Date,Quarter,Complaint Reason,Nr of Complaints,
19/09/2013,2013Q1,Airline ceased trading,1,
19/09/2013,2013Q1,At the airport,14,
19/09/2013,2013Q1,Baggage,144,
19/09/2013,2013Q1,Cancellations,569,
19/09/2013,2013Q1,Delays,3836,
19/09/2013,2013Q1,Denied boarding,59,
19/09/2013,2013Q1,Diversion,84,
19/09/2013,2013Q1,In flight,39,
19/09/2013,2013Q1,Missed connection,131,
19/09/2013,2013Q1,Other,127,
19/09/2013,2013Q1,Pre-departure,48,
19/09/2013,2013Q1,Reduced mobility support,7,
19/09/2013,2013Q1,Refunds,74,
19/09/2013,2013Q1,Reservations,56,
19/09/2013,2013Q1,Safety,4,
19/09/2013,2013Q1,Schedule changes,25,
19/09/2013,2013Q1,Special needs,40,
19/09/2013,2013Q1,"Taxes, fees and charges",7,
19/09/2013,2013Q1,TOTAL,5265,